date,STATE,CONSUMPTION
2002-03-01,FL,42921494.0
2002-04-01,FL,49601698.0
2002-05-01,FL,53963766.0
2002-06-01,FL,59181847.0
2002-07-01,FL,64265597.0
2002-08-01,FL,67902006.0
2002-09-01,FL,63492889.0
2002-10-01,FL,61534912.0
2002-11-01,FL,41422550.0
2002-12-01,FL,37584633.0
2003-01-01,FL,45919421.0
2003-02-01,FL,34273414.0
2003-03-01,FL,49294636.0
2003-04-01,FL,46174744.0
2003-05-01,FL,60134546.0
2003-06-01,FL,57350916.0
2003-07-01,FL,63801967.0
2003-08-01,FL,61093888.0
2003-09-01,FL,61423648.0
2003-10-01,FL,57484166.0
2003-11-01,FL,51571889.0
2003-12-01,FL,44427230.0
2004-01-01,FL,42321590.13
2004-02-01,FL,41544297.470000006
2004-03-01,FL,44496891.39
2004-04-01,FL,47548780.57
2004-05-01,FL,59273922.10000001
2004-06-01,FL,69722514.85000001
2004-07-01,FL,72871723.83
2004-08-01,FL,70729432.2
2004-09-01,FL,70240932.43
2004-10-01,FL,65586266.489999995
2004-11-01,FL,46404802.52
2004-12-01,FL,47157825.45000001
2005-01-01,FL,51207749.81
2005-02-01,FL,41723808.16
2005-03-01,FL,52716161.25
2005-04-01,FL,48011079.769999996
2005-05-01,FL,60187844.4
2005-06-01,FL,67471658.23
2005-07-01,FL,90673373.57
2005-08-01,FL,85065591.87
2005-09-01,FL,68708105.37
2005-10-01,FL,61983271.75
2005-11-01,FL,51371036.38
2005-12-01,FL,41803431.809999995
2006-01-01,FL,46395331.25
2006-02-01,FL,48161479.129999995
2006-03-01,FL,60114760.45
2006-04-01,FL,67075640.71
2006-05-01,FL,79276603.46
2006-06-01,FL,83273038.53999999
2006-07-01,FL,85727088.30000001
2006-08-01,FL,86186471.91999999
2006-09-01,FL,79903913.11
2006-10-01,FL,72515605.85999998
2006-11-01,FL,52733656.230000004
2006-12-01,FL,49040353.79
2001-01-01,GA,4346172.0
2001-02-01,GA,3260880.0
2001-03-01,GA,3760110.0
2001-04-01,GA,5843169.0
2001-05-01,GA,5915305.0
2001-06-01,GA,7853754.0
2001-07-01,GA,11712076.0
2001-08-01,GA,13204086.0
2001-09-01,GA,7561783.0
2001-10-01,GA,4915497.0
2001-11-01,GA,3025551.0
2001-12-01,GA,3630988.0
2002-01-01,GA,4887831.0
2002-02-01,GA,3784883.0
2002-03-01,GA,4531118.0
2002-04-01,GA,6628239.0
2002-05-01,GA,6669189.0
2002-06-01,GA,11263651.0
2002-07-01,GA,17087898.0
2002-08-01,GA,16004381.0
2002-09-01,GA,11456506.0
2002-10-01,GA,7826683.0
2002-11-01,GA,3658570.0
2002-12-01,GA,4506842.0
2003-01-01,GA,6524814.0
2003-02-01,GA,3323362.0
2003-03-01,GA,3955375.0
2003-04-01,GA,6757385.0
2003-05-01,GA,5576597.0
2003-06-01,GA,6273028.0
2003-07-01,GA,9479518.0
2003-08-01,GA,12198843.0
2003-09-01,GA,5901428.0
2003-10-01,GA,3677803.0
2003-11-01,GA,2956763.0
2003-12-01,GA,4003282.0
2004-01-01,GA,4599117.300000001
2004-02-01,GA,4840971.55
2004-03-01,GA,4787828.970000001
2004-04-01,GA,7694298.18
2004-05-01,GA,10240170.39
2004-06-01,GA,9543802.65
2004-07-01,GA,11753579.69
2004-08-01,GA,10902009.17
2004-09-01,GA,7018849.9
2004-10-01,GA,4566671.02
2004-11-01,GA,3280355.31
2004-12-01,GA,4712489.94
2005-01-01,GA,6490541.92
2005-02-01,GA,4010673.69
2005-03-01,GA,5269200.5600000005
2005-04-01,GA,3803752.01
2005-05-01,GA,6580738.890000001
2005-06-01,GA,12125081.42
2005-07-01,GA,17541501.18
2005-08-01,GA,18992791.39
2005-09-01,GA,15081003.59
2005-10-01,GA,8096779.46
2005-11-01,GA,6099321.699999999
2005-12-01,GA,9209609.62
2006-01-01,GA,4489316.609999999
2006-02-01,GA,7205574.92
2006-03-01,GA,6851542.05
2006-04-01,GA,9380866.06
2006-05-01,GA,10529323.47
2006-06-01,GA,15422259.739999998
2006-07-01,GA,22624402.279999997
2006-08-01,GA,23909872.69
2006-09-01,GA,11417366.68
2006-10-01,GA,9931982.35
2006-11-01,GA,6611402.76
2006-12-01,GA,7409052.869999999
2001-01-01,HI,1240048.41
2001-02-01,HI,1064057.25
2001-03-01,HI,1230322.49
2001-04-01,HI,1117592.62
2001-05-01,HI,1176191.89
2001-06-01,HI,1159481.21
2001-07-01,HI,1262858.61
2001-08-01,HI,1307693.31
2001-09-01,HI,1246761.69
2001-10-01,HI,1228838.93
2001-11-01,HI,1161681.44
2001-12-01,HI,1185521.87
2002-01-01,HI,1297998.0
2002-02-01,HI,1161236.47
2002-03-01,HI,1340676.77
2002-04-01,HI,1381835.85
2002-05-01,HI,1369214.36
2002-06-01,HI,1371540.89
2002-07-01,HI,1424144.97
2002-08-01,HI,1491731.77
2002-09-01,HI,1403658.82
2002-10-01,HI,1466543.1
2002-11-01,HI,1326153.54
2002-12-01,HI,1334833.67
2003-01-01,HI,1096606.84
2003-02-01,HI,970115.19
2003-03-01,HI,1176415.21
2003-04-01,HI,1107623.75
2003-05-01,HI,1133812.76
2003-06-01,HI,1138288.03
2003-07-01,HI,1200341.13
2003-08-01,HI,1228956.57
2003-09-01,HI,1227011.07
2003-10-01,HI,1358438.88
2003-11-01,HI,1115953.32
2003-12-01,HI,1134061.14
2004-01-01,HI,1166941.92
2004-02-01,HI,1089607.42
2004-03-01,HI,1154043.3199999998
2004-04-01,HI,1146045.6700000002
2004-05-01,HI,1249852.29
2004-06-01,HI,1226701.5799999998
2004-07-01,HI,1308113.4799999997
2004-08-01,HI,1339733.5699999998
2004-09-01,HI,1309244.3199999998
2004-10-01,HI,1295212.1600000001
2004-11-01,HI,1213677.6500000001
2004-12-01,HI,1201252.0499999998
2005-01-01,HI,1222840.85
2005-02-01,HI,975536.36
2005-03-01,HI,1080026.7799999998
